"","O2_ml_L","time_month","O2_umol_kg","NO3_UDO","PO4_UDO","SiO4_UDO","NH4_USF","NO2_USF","NO3_NO2_USF","PO4_USF","SiO4_USF","pH","Alkalinity_mol_kg","Alkalinity_umol_kg","TCO2","fCO2","pH_corrected","TCO2_corrected","fCO2_corrected","Salinity_bottles","Salinity_CTD","Temperature","Sigma_t","TPP","PIP","POC_ug_kg","PON_ug_kg","POC_ug_L","PN_ug_L","C_N_particulate","DON","DOP","DOC","TOC","PrimaryProductivity","Chlorophyll","Phaeopigments","Total_Prokaryotes","Bact_Biomass_mgC_m3","Bact_Biomass_uMC","NO3_USF","NO3_merged","PO4_merged","SiO4_merged"
"1",4.06669929608678,"11-1995",177.277571410047,0.921753508628846,0.0616260345159428,2.12711540523197,NA,NA,NA,NA,NA,NA,0.00240653698017017,2406.53698017017,NA,NA,NA,NA,NA,36.7624570961109,NA,25.3228469174287,24.5451485166609,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.7059802642641,NA,NA,0.179304631163587,0.270035115007541,NA,NA,NA,NA,0.921753508628846,0.0616260345159428,2.12711540523197
"2",3.43855099181188,"12-1995",149.808482459801,3.09488449355281,0.211426903012595,3.86891898436766,NA,NA,NA,NA,NA,8.00608254830682,0.00240863075327812,2408.63075327812,2108.15608216521,433.700600134375,8.01114695815901,2104.95545929999,427.505181787492,NA,36.8560864745011,23.6878041439839,25.1362301406814,NA,NA,48.4458226939527,9.04038513679703,6.32681084184053,47.278054560553,8.82247380351001,NA,NA,NA,NA,0.482691795235559,0.115094883885154,0.163627773759507,0.700284685627766,2.13190871839581,0.177649828467334,NA,3.09488449355281,0.211426903012595,3.86891898436766
"3",3.40526448792255,"01-1996",148.311868740755,7.51162656279949,0.303837953469532,4.86813498392446,NA,NA,NA,NA,NA,7.98368984343977,0.00241554044081343,2415.54044081343,2127.09614056787,444.546887746061,7.9888971640501,2123.99993772671,438.124904588311,36.8845515979704,NA,22.633137157468,25.4656447395545,NA,NA,82.0098410365741,14.4776692090978,5.68367651312263,80.0330124558872,14.1286876042198,NA,NA,81.5256722976272,NA,2.05693107572602,0.5825761693729,0.345171119287581,3.04290520840144,9.92894748972587,0.827411865805819,NA,7.51162656279949,0.303837953469532,4.86813498392446
"4",3.30429770989323,"02-1996",143.90053749654,6.87778339770023,0.325410783302027,4.0523121336436,NA,NA,NA,NA,NA,7.96228880875154,0.00241942968428825,2419.42968428825,2135.23809930437,458.42555820757,7.96798622958915,2131.81889118228,451.201703550987,36.8809868854412,NA,22.3144203998054,25.5576797502703,NA,NA,110.503790825195,17.7774318156409,5.99733893823374,107.840190204793,17.348920174352,NA,NA,70.7647692544694,NA,1.21755281694645,0.349763408153419,0.285539936585731,2.59153073062738,8.455257260114,0.704618066562331,NA,6.87778339770023,0.325410783302027,4.0523121336436
"5",3.41265570044324,"03-1996",148.581941502598,6.58709768533579,0.336156014597613,5.16117590199774,NA,NA,NA,NA,NA,NA,0.0024057427704856,2405.7427704856,NA,NA,NA,NA,NA,36.8107093803555,36.8064869971071,21.1381175983157,25.8288984958954,NA,NA,166.25662416825,25.3469955150394,6.4144196994654,162.249024539689,24.7360227420073,NA,NA,NA,NA,1.53972447192621,0.636520397463531,0.377806073954399,NA,NA,NA,NA,6.58709768533579,0.336156014597613,5.16117590199774
"6",3.56997453981893,"04-1996",155.429600580984,6.77001143654398,0.360421253322633,3.74438804436196,NA,NA,NA,NA,NA,7.92282526703682,0.0024143510410139,2414.3510410139,2160.76073570008,498.229824831146,7.92848041581855,2157.58585585288,490.539083820247,36.8129699854288,36.8028975663396,21.1462829862187,25.8262349504034,NA,NA,162.172930345961,24.2988457321606,8.16202258174358,158.263865448196,23.7131205399982,NA,NA,89.7880947424772,NA,0.92001209107022,2.24528144477596,1.36223925674102,1.69078666193514,5.53150287641782,0.460977228031846,NA,6.77001143654398,0.360421253322633,3.74438804436196
"7",3.01187056198178,"05-1996",131.126440118546,8.85360379914469,0.410444155982176,4.81713951280931,NA,NA,NA,NA,NA,7.96714746307441,0.00241607075487263,2416.07075487263,2137.04864451028,439.574240919822,7.9735604097227,2133.50115514577,431.688219038786,36.7880797097159,36.7657804693309,20.9042577787577,25.8625633928891,NA,NA,79.0978417190971,10.9056633424496,7.72340046258651,77.1911866120659,10.6427830135515,NA,NA,NA,NA,5.45734713153189,0.874061689710523,0.428877794133174,4.20377639654729,13.7613971220023,1.14677970067554,NA,8.85360379914469,0.410444155982176,4.81713951280931
"8",3.63187637261734,"06-1996",158.169260278746,7.71274505021521,0.283244209879074,3.65518529070165,NA,NA,NA,NA,NA,8.01096185421876,0.00242401635721118,2424.01635721118,2117.96261285783,407.729511994944,8.01745945695839,2113.96405835895,400.364067912824,36.8848084402541,NA,22.2484858919177,25.5734622026372,NA,NA,129.134363325818,20.4915949648152,6.90334706653003,126.021611817586,19.9976509121268,NA,NA,81.2912104939537,NA,1.05646138368218,0.294388850174216,0.243805212816834,5.08941369118451,16.6049258278927,1.38373278337032,NA,7.71274505021521,0.283244209879074,3.65518529070165
"9",3.3222553734547,"07-1996",144.735833561546,5.83289831563387,0.330318455414219,2.5193666368434,NA,NA,NA,NA,NA,7.98135081388986,0.00241333793547136,2413.33793547136,2129.19913142808,464.189944968892,7.98769520649888,2125.50524577209,456.202225720936,36.8599471788488,NA,23.35139567433,25.2329229081573,NA,NA,80.1293341009582,11.6248452561559,8.06893793512792,78.1978095427964,11.3446423684185,NA,NA,69.4060831161422,NA,0.815817700160008,0.251017977775911,0.310032992310784,NA,NA,NA,NA,5.83289831563387,0.330318455414219,2.5193666368434
"10",3.35538477893542,"08-1996",146.128100972464,5.14491366487929,0.252161638342495,3.61952245078253,NA,NA,NA,NA,NA,7.98405080957471,0.00241294197172363,2412.94197172363,2124.14450376176,438.391460320681,7.99063111842893,2120.25999527272,430.430612960792,36.896036891392,NA,22.316472924596,25.5625749202077,NA,NA,43.6528044059657,6.89118060499041,9.30137364863807,42.6005520442371,6.7250664553197,NA,NA,NA,NA,0.788966007561615,0.212829405257323,0.36447823870944,3.27403348146313,10.6819721640855,0.890153265400621,NA,5.14491366487929,0.252161638342495,3.61952245078253
