,Cruise,Leg,Day,Month,Year,Date,Depth_target,Depth_real,O2_(ml/L),O2_(?mol/kg),NO3_UDO,PO4_UDO,Si(OH)4_UDO,NH4_USF,NO2_USF,NO3+NO2_USF,PO4_USF,Si(OH)4_USF,pH,Alkalinity_(mol/kg),Alkalinity_(?mol/kg),TCO2,fCO2,pH_corrected,TCO2_corrected,fCO2_corrected,Salinity_bottles,Salinity_CTD,Temperature,Sigma-t,TPP,PIP,POC_(?g/kg),PN_(?g/kg),POC_(?g/L),PN_(?g/L),C/N_particulate,DON,DOP,DOC,TOC,PrimaryProductivity,Chlorophyll,Phaeopigments,Total Prokaryotes ,Bact_Biomass_(mgC/m3),Bact_Biomass_(?MC),,
,,,,,,,target,real,,,UDO,UDO,UDO,USF,USF,USF,USF,USF,"at 25°C, no-corrected for impurities",,,,,"at 25°C, corrected for impurities",recalculated,recalculated,bottles,CTD,CTD,CTD,,,,,,,,USF,USF,,,,,,Decay Corrected,,,,
,nnn,n,dd,mm,yyyy,yyyy/mm/dd,m,m,ml/L,?mol/kg,?M,?M,?M,?M,?M,?M,?M,?M,,mol/kg,?mol/kg,?mol/kg,?atm,,?mol/kg,?atm,PSU,PSU,degC (°C),Kg/m3,nM,nM,?g/kg,?g/kg,?g/L,?g/L,mol/mol,?M,?M,?M,?M,mgC/m3/hr,mg/m3,mg/m3,(x10^8/L),mgC/m3,?MC,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,001,2,08,11,1995,1995/11/08,1,1.5,4.85,211.61,0.18,0.00,2.40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,36.576,-9999,27.490,23.7200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,134.80,-9999,-9999,0.09,0.09,Samples collected on different date by Stony Brook University group.,,,,
2,001,2,08,11,1995,1995/11/08,7,6.5,4.41,192.39,0.17,0.00,2.80,-9999,-9999,-9999,-9999,-9999,-9999,0.002409,2409,-9999,-9999,-9999,-9999,-9999,36.577,-9999,27.500,23.7200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,88.30,-9999,-9999,0.07,0.06,Data reported in the master file of those cruises (Master: Biochemistry & Microbiology),,,,
3,001,2,08,11,1995,1995/11/08,15,15.0,4.38,191.08,0.16,0.00,2.20,-9999,-9999,-9999,-9999,-9999,-9999,0.002411,2411,-9999,-9999,-9999,-9999,-9999,36.590,-9999,27.490,23.7600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,80.70,-9999,-9999,0.10,0.08,,,,,
4,001,2,08,11,1995,1995/11/08,25,25.0,4.37,190.57,0.17,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.002410,2410,-9999,-9999,-9999,-9999,-9999,36.612,-9999,26.300,24.1560,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78.30,-9999,-9999,0.12,0.14,,,,,
5,001,2,08,11,1995,1995/11/08,35,35.0,4.27,186.13,0.85,0.01,1.90,-9999,-9999,-9999,-9999,-9999,-9999,0.002416,2416,-9999,-9999,-9999,-9999,-9999,36.744,-9999,25.320,24.5630,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78.20,-9999,-9999,0.13,0.20,,,,,
6,001,2,08,11,1995,1995/11/08,55,54.5,3.95,172.14,0.63,0.06,1.70,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,36.829,-9999,24.750,24.8000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77.70,-9999,-9999,0.42,0.60,,,,,
7,001,2,08,11,1995,1995/11/08,75,74.0,3.87,168.64,1.08,0.08,2.20,-9999,-9999,-9999,-9999,-9999,-9999,0.002398,2398,-9999,-9999,-9999,-9999,-9999,36.847,-9999,24.480,24.9000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,73.00,-9999,-9999,0.16,0.31,,,,,
8,001,2,08,11,1995,1995/11/08,100,97.0,3.63,158.18,2.52,0.20,2.40,-9999,-9999,-9999,-9999,-9999,-9999,0.002403,2403,-9999,-9999,-9999,-9999,-9999,36.898,-9999,23.970,24.9370,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,74.00,-9999,-9999,0.07,0.16,,,,,
9,001,2,08,11,1995,1995/11/08,150,151.5,1.81,78.77,10.69,0.96,10.70,-9999,-9999,-9999,-9999,-9999,-9999,0.002363,2363,-9999,-9999,-9999,-9999,-9999,36.580,-9999,19.270,26.1700,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,71.10,-9999,-9999,-9999,-9999,,,,,
10,001,2,08,11,1995,1995/11/08,200,200.0,0.45,19.58,10.57,1.50,22.10,-9999,-9999,-9999,-9999,-9999,-9999,0.002370,2370,-9999,-9999,-9999,-9999,-9999,36.448,-9999,18.230,26.3250,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,99.70,-9999,-9999,-9999,-9999,,,,,
11,001,2,08,11,1995,1995/11/08,250,251.5,0.00,0.00,9.29,2.42,37.00,-9999,-9999,-9999,-9999,-9999,-9999,0.002398,2398,-9999,-9999,-9999,-9999,-9999,36.392,-9999,17.890,26.3900,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,69.80,-9999,-9999,-9999,-9999,,,,,
12,001,2,08,11,1995,1995/11/08,300,302.5,0.00,0.00,0.29,2.56,42.20,-9999,-9999,-9999,-9999,-9999,-9999,0.002398,2398,-9999,-9999,-9999,-9999,-9999,36.363,-9999,17.660,26.4000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,66.30,-9999,-9999,-9999,-9999,,,,,
13,001,2,08,11,1995,1995/11/08,350,353.0,0.00,0.00,0.29,2.64,44.30,-9999,-9999,-9999,-9999,-9999,-9999,0.002415,2415,-9999,-9999,-9999,-9999,-9999,36.341,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,71.60,-9999,-9999,-9999,-9999,,,,,
14,001,2,08,11,1995,1995/11/08,400,409.5,0.00,0.00,0.19,2.81,55.40,-9999,-9999,-9999,-9999,-9999,-9999,0.002433,2433,-9999,-9999,-9999,-9999,-9999,36.319,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,,
15,001,2,08,11,1995,1995/11/08,450,451.0,0.00,0.00,0.20,2.99,59.50,-9999,-9999,-9999,-9999,-9999,-9999,0.002430,2430,-9999,-9999,-9999,-9999,-9999,36.296,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,59.40,-9999,-9999,-9999,-9999,,,,,
16,001,2,08,11,1995,1995/11/08,500,502.5,0.00,0.00,0.20,3.11,74.70,-9999,-9999,-9999,-9999,-9999,-9999,0.002449,2449,-9999,-9999,-9999,-9999,-9999,36.271,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,61.70,-9999,-9999,-9999,-9999,,,,,
17,001,2,08,11,1995,1995/11/08,750,752.5,0.00,0.00,0.20,3.32,81.70,-9999,-9999,-9999,-9999,-9999,-9999,0.002429,2429,-9999,-9999,-9999,-9999,-9999,36.229,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,61.00,-9999,-9999,-9999,-9999,,,,,
18,001,2,08,11,1995,1995/11/08,1000,1005.0,0.00,0.00,0.07,3.45,80.30,-9999,-9999,-9999,-9999,-9999,-9999,0.002464,2464,-9999,-9999,-9999,-9999,-9999,36.221,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,62.50,-9999,-9999,-9999,-9999,,,,,
19,001,2,08,11,1995,1995/11/08,1200,1210.0,0.00,0.00,0.08,3.57,94.10,-9999,-9999,-9999,-9999,-9999,-9999,0.002464,2464,-9999,-9999,-9999,-9999,-9999,36.223,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,66.70,-9999,-9999,-9999,-9999,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,002,1,13,12,1995,1995/12/13,1,2.0,4.07,177.42,0.26,0.03,2.26,-9999,-9999,-9999,-9999,-9999,8.060,0.002413,2413,2080,399,8.065,2076,393,-9999,36.810,25.390,24.5900,-9999,-9999,59.74,12.01,5.80,58.30,11.72,-9999,-9999,-9999,-9999,1.66,0.12,0.08,-9999,-9999,-9999,,
22,002,1,13,12,1995,1995/12/13,7,7.5,4.12,179.38,0.40,0.02,2.47,-9999,-9999,-9999,-9999,-9999,8.054,0.002407,2407,2078,405,8.060,2074,399,-9999,36.810,25.400,24.5900,-9999,-9999,63.03,12.44,5.91,61.51,12.14,-9999,-9999,-9999,-9999,1.11,0.15,0.11,0.37,1.20,0.10,,
23,002,1,13,12,1995,1995/12/13,15,16.0,4.09,178.40,0.43,0.05,2.69,-9999,-9999,-9999,-9999,-9999,8.051,0.002413,2413,2085,410,8.056,2081,403,-9999,36.810,25.380,24.5900,-9999,-9999,53.04,10.22,6.05,51.76,9.97,-9999,-9999,-9999,-9999,1.23,0.18,0.14,-9999,-9999,-9999,,
24,002,1,13,12,1995,1995/12/13,25,26.0,3.50,152.34,2.02,0.08,3.66,-9999,-9999,-9999,-9999,-9999,8.022,0.002416,2416,2107,433,8.026,2103,427,-9999,36.820,24.680,24.8200,-9999,-9999,81.05,16.21,5.84,79.10,15.81,-9999,-9999,-9999,-9999,1.76,0.38,0.42,0.42,0.78,0.06,,
25,002,1,13,12,1995,1995/12/13,35,36.0,3.27,142.49,2.68,0.23,4.19,-9999,-9999,-9999,-9999,-9999,8.002,0.002405,2405,2108,444,8.006,2105,439,-9999,36.880,24.050,25.0450,-9999,-9999,49.81,9.50,6.12,48.60,9.27,-9999,-9999,-9999,-9999,0.26,0.10,0.20,-9999,-9999,-9999,,
26,002,1,13,12,1995,1995/12/13,55,55.5,3.32,144.68,3.77,0.22,3.98,-9999,-9999,-9999,-9999,-9999,8.012,0.002414,2414,2109,426,8.017,2106,419,-9999,36.880,23.590,25.1900,-9999,-9999,27.13,5.42,5.84,26.48,5.29,-9999,-9999,-9999,-9999,0,0.10,0.20,0.24,0.78,0.06,,
27,002,1,13,12,1995,1995/12/13,75,76.0,3.27,142.44,4.31,0.30,4.09,-9999,-9999,-9999,-9999,-9999,7.982,0.002408,2408,2122,448,7.987,2119,442,-9999,36.890,22.800,25.4300,-9999,-9999,50.31,8.57,6.85,49.10,8.36,-9999,-9999,-9999,-9999,0.08,0.04,0.10,1.14,3.72,0.31,,
28,002,1,13,12,1995,1995/12/13,100,100.0,3.05,132.83,5.42,0.41,5.16,-9999,-9999,-9999,-9999,-9999,7.959,0.002396,2396,2125,452,7.964,2122,446,-9999,36.830,21.550,25.7400,-9999,-9999,37.04,5.85,7.39,36.15,5.71,-9999,-9999,-9999,-9999,0.01,0.01,0.04,1.63,5.31,0.44,,
29,002,1,13,12,1995,1995/12/13,130,128.0,2.69,117.12,7.72,0.47,6.24,-9999,-9999,-9999,-9999,-9999,7.918,0.002371,2371,2124,480,7.923,2122,474,-9999,36.722,20.520,25.9400,-9999,-9999,19.62,4.35,5.26,19.15,4.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.47,5.08,0.42,,
30,002,1,13,12,1995,1995/12/13,160,159.0,1.83,79.84,8.71,0.91,11.50,-9999,-9999,-9999,-9999,-9999,7.837,0.002346,2346,2143,564,7.841,2141,557,-9999,36.571,19.260,26.1560,-9999,-9999,19.04,3.64,6.11,18.58,3.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.88,3.02,0.25,,
31,002,1,13,12,1995,1995/12/13,200,199.0,0.58,25.42,1.65,1.42,22.58,-9999,-9999,-9999,-9999,-9999,7.720,0.002373,2373,2222,751,7.724,2220,743,-9999,36.449,18.290,26.3100,-9999,-9999,19.32,4.57,4.94,18.85,4.45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.82,2.82,0.23,,
32,002,1,13,12,1995,1995/12/13,250,250.0,0.22,9.49,0,-9999,34.83,-9999,-9999,-9999,-9999,-9999,7.670,0.002392,2392,2261,852,7.673,2259,843,-9999,36.401,17.930,26.3600,-9999,-9999,21.14,4.71,5.24,20.63,4.59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.17,4.17,0.35,,
33,002,1,13,12,1995,1995/12/13,300,300.0,0.00,0.00,0.91,2.55,43.97,-9999,-9999,-9999,-9999,-9999,7.657,0.002415,2415,2288,881,7.661,2286,872,-9999,36.369,17.720,26.3900,-9999,-9999,34.08,5.78,6.88,33.26,5.64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.09,3.88,0.32,,
34,002,1,13,12,1995,1995/12/13,350,347.0,0.00,0.00,0.32,2.77,48.16,-9999,-9999,-9999,-9999,-9999,7.642,0.002416,2416,2294,898,7.646,2293,890,-9999,-9999,-9999,-9999,-9999,-9999,25.84,5.64,5.35,25.22,5.50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.04,3.71,0.31,,
35,002,1,13,12,1995,1995/12/13,400,395.0,0.00,0.00,0.27,2.83,55.90,-9999,-9999,-9999,-9999,-9999,7.633,0.002417,2417,2299,920,7.637,2297,910,-9999,-9999,-9999,-9999,-9999,-9999,24.48,5.57,5.13,23.89,5.43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.34,8.34,0.70,,
36,002,1,13,12,1995,1995/12/13,500,494.0,0.00,0.00,0.45,3.06,64.50,-9999,-9999,-9999,-9999,-9999,7.621,0.002448,2448,2334,962,7.625,2332,952,-9999,-9999,-9999,-9999,-9999,-9999,21.22,4.78,5.18,20.70,4.66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.06,9.90,0.83,,
37,002,1,13,12,1995,1995/12/13,750,744.0,0.00,0.00,0.40,3.38,82.56,-9999,-9999,-9999,-9999,-9999,7.587,0.002456,2456,2355,1056,7.590,2353,1047,-9999,-9999,-9999,-9999,-9999,-9999,23.26,5.35,5.07,22.70,5.22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.68,3.26,0.27,,
38,002,1,13,12,1995,1995/12/13,1000,992.0,0.00,0.00,0.32,3.51,87.72,-9999,-9999,-9999,-9999,-9999,7.590,-9999,-9999,-9999,-9999,7.593,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27.31,5.14,6.20,26.65,5.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.55,2.62,0.22,,
39,002,1,13,12,1995,1995/12/13,1200,1202.0,0.00,0.00,0.36,3.62,86.86,-9999,-9999,-9999,-9999,-9999,7.575,0.002467,2467,2370,1095,7.578,2368,1085,-9999,-9999,-9999,-9999,-9999,-9999,27.89,5.14,6.34,27.22,5.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.10,0.47,0.04,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,003,1,12,01,1996,1996/01/12,1,1.5,4.66,203.27,4.57,0.09,1.08,-9999,-9999,-9999,-9999,-9999,8.060,0.002428,2428,2092,387,8.066,2088,380,36.922,-9999,24.480,24.9550,-9999,-9999,395.02,46.63,9.88,385.50,45.51,-9999,-9999,109.30,-9999,16.25,1.40,0.69,-9999,-9999,-9999,,
42,003,1,12,01,1996,1996/01/12,7,9.0,4.68,203.99,1.95,0.11,2.75,-9999,-9999,-9999,-9999,-9999,8.061,0.002426,2426,2090,379,8.067,2086,372,36.920,-9999,24.020,25.0900,-9999,-9999,112.30,14.51,9.03,109.59,14.16,-9999,-9999,106.00,-9999,11.79,1.37,0.66,7.62,24.86,2.07,,
43,003,1,12,01,1996,1996/01/12,15,16.0,4.29,186.81,2.29,0.10,3.00,-9999,-9999,-9999,-9999,-9999,8.039,0.002430,2430,2108,402,8.044,2104,395,36.952,-9999,23.840,25.1500,-9999,-9999,311.98,51.87,7.02,304.46,50.62,-9999,-9999,78.30,-9999,3.99,1.33,0.64,-9999,-9999,-9999,,
44,003,1,12,01,1996,1996/01/12,25,26.5,3.94,171.62,2.46,0.15,3.42,-9999,-9999,-9999,-9999,-9999,8.019,0.002430,2430,2120,423,8.024,2116,417,36.925,-9999,23.740,25.1800,-9999,-9999,68.08,14.64,5.43,66.44,14.29,-9999,-9999,74.40,-9999,0.83,1.74,0.81,7.75,25.28,2.11,,
45,003,1,12,01,1996,1996/01/12,35,36.0,2.96,128.81,3.26,0.23,5.42,-9999,-9999,-9999,-9999,-9999,7.977,0.002409,2409,2126,465,7.982,2123,459,36.893,-9999,23.420,25.2500,-9999,-9999,73.90,15.78,5.46,72.12,15.40,-9999,-9999,75.10,-9999,0.07,0.50,0.46,3.31,10.80,0.90,,
46,003,1,12,01,1996,1996/01/12,55,55.0,3.15,137.23,9.77,0.32,5.42,-9999,-9999,-9999,-9999,-9999,7.971,0.002418,2418,2137,456,7.976,2134,449,36.887,-9999,22.380,25.5500,-9999,-9999,31.37,7.51,4.87,30.61,7.33,-9999,-9999,100.40,-9999,0.02,0.10,0.16,1.13,3.68,0.31,,
47,003,1,12,01,1996,1996/01/12,75,72.5,3.00,130.74,11.46,0.45,5.75,-9999,-9999,-9999,-9999,-9999,7.954,0.002406,2406,2136,460,7.960,2133,454,36.856,-9999,21.610,25.7400,-9999,-9999,21.53,5.49,4.57,21.01,5.36,-9999,-9999,70.10,-9999,0.11,0.05,0.06,1.16,3.79,0.32,,
48,003,1,12,01,1996,1996/01/12,100,95.5,2.93,127.75,12.70,0.52,6.33,-9999,-9999,-9999,-9999,-9999,7.939,0.002406,2406,2145,472,7.944,2142,466,36.828,-9999,21.170,25.8400,-9999,-9999,21.55,4.89,5.15,21.03,4.77,-9999,-9999,69.40,-9999,0.02,0.04,0.06,0.82,2.68,0.22,,
49,003,1,12,01,1996,1996/01/12,130,120.0,2.75,119.53,15.47,0.66,7.17,-9999,-9999,-9999,-9999,-9999,7.917,0.002412,2412,2163,490,7.922,2160,483,36.745,36.729,20.510,25.9500,-9999,-9999,16.61,3.54,5.47,16.20,3.45,-9999,-9999,62.00,-9999,-9999,-9999,-9999,1.02,3.51,0.29,,
50,003,1,12,01,1996,1996/01/12,160,144.0,2.39,104.10,18.42,0.80,9.83,-9999,-9999,-9999,-9999,-9999,7.888,0.002432,2432,2197,517,7.893,2195,510,36.663,36.622,19.630,26.1000,-9999,-9999,17.15,3.81,5.25,16.73,3.72,-9999,-9999,63.50,-9999,-9999,-9999,-9999,1.07,3.69,0.31,,
51,003,1,12,01,1996,1996/01/12,200,179.0,0.94,40.70,20.78,1.38,18.42,-9999,-9999,-9999,-9999,-9999,7.749,0.002410,2410,2244,713,7.753,2243,705,36.490,36.469,18.540,26.2600,-9999,-9999,12.77,3.48,4.29,12.46,3.39,-9999,-9999,64.00,-9999,-9999,-9999,-9999,0.79,2.73,0.23,,
52,003,1,12,01,1996,1996/01/12,250,225.0,0.10,4.41,7.04,1.54,31.33,-9999,-9999,-9999,-9999,-9999,7.670,0.002398,2398,2267,856,7.674,2265,847,36.415,36.406,17.980,26.3550,-9999,-9999,22.94,5.09,5.26,22.39,4.97,-9999,-9999,58.40,-9999,-9999,-9999,-9999,2.46,8.77,0.73,,
53,003,1,12,01,1996,1996/01/12,300,270.0,0.00,0.00,1.79,2.45,38.67,-9999,-9999,-9999,-9999,-9999,7.665,0.002419,2419,2288,867,7.669,2287,859,36.390,36.381,17.800,26.3800,-9999,-9999,30.78,7.38,4.87,30.04,7.20,-9999,-9999,76.40,-9999,-9999,-9999,-9999,1.43,5.09,0.42,,
54,003,1,12,01,1996,1996/01/12,350,311.0,0.00,0.00,1.43,2.67,44.00,-9999,-9999,-9999,-9999,-9999,7.656,-9999,-9999,-9999,-9999,7.661,-9999,-9999,36.366,36.368,17.690,-9999,-9999,-9999,21.81,4.96,5.13,21.28,4.84,-9999,-9999,69.40,-9999,-9999,-9999,-9999,2.07,7.39,0.62,,
55,003,1,12,01,1996,1996/01/12,400,354.0,0.00,0.00,1.59,2.85,53.67,-9999,-9999,-9999,-9999,-9999,7.642,0.002426,2426,2304,917,7.646,2303,908,36.345,-9999,-9999,-9999,-9999,-9999,25.46,5.36,5.55,24.84,5.23,-9999,-9999,61.20,-9999,-9999,-9999,-9999,0.78,2.79,0.23,,
56,003,1,12,01,1996,1996/01/12,500,436.0,-9999,-9999,1.59,3.05,55.33,-9999,-9999,-9999,-9999,-9999,7.630,0.002437,2437,2319,950,7.634,2318,941,36.306,-9999,-9999,-9999,-9999,-9999,23.34,4.75,5.73,22.78,4.64,-9999,-9999,66.70,-9999,-9999,-9999,-9999,0.97,4.65,0.39,,
57,003,1,12,01,1996,1996/01/12,750,656.0,-9999,-9999,1.51,3.42,76.83,-9999,-9999,-9999,-9999,-9999,7.613,0.002456,2456,2344,1001,7.616,2343,993,36.241,-9999,-9999,-9999,-9999,-9999,16.30,3.81,4.99,15.90,3.72,-9999,-9999,78.50,-9999,-9999,-9999,-9999,0.77,3.71,0.31,,
58,003,1,12,01,1996,1996/01/12,1000,899.0,-9999,-9999,1.41,3.51,84.00,-9999,-9999,-9999,-9999,-9999,7.604,0.002452,2452,2344,1024,7.607,2342,1015,36.228,-9999,-9999,-9999,-9999,-9999,22.09,5.02,5.13,21.56,4.90,-9999,-9999,70.50,-9999,-9999,-9999,-9999,0.78,3.75,0.31,,
59,003,1,12,01,1996,1996/01/12,1200,1105.0,-9999,-9999,1.41,3.60,86.33,-9999,-9999,-9999,-9999,-9999,7.585,0.002463,2463,2362,1082,7.588,2361,1072,36.224,-9999,-9999,-9999,-9999,-9999,17.83,4.01,5.19,17.40,3.91,-9999,-9999,72.00,-9999,-9999,-9999,-9999,0.75,3.61,0.30,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,004,1,13,02,1996,1996/02/13,1,1.5,4.77,207.76,0.85,0.04,1.80,-9999,-9999,-9999,-9999,-9999,8.069,0.002448,2448,2105,374,8.076,2100,366.41,36.913,-9999,24.050,25.0770,-9999,-9999,384.04,44.88,9.98,374.78,43.80,-9999,-9999,74.30,-9999,12.66,0.68,0.41,-9999,-9999,-9999,,
62,004,1,13,02,1996,1996/02/13,7,7.5,4.54,197.92,0.91,0.03,2.11,-9999,-9999,-9999,-9999,-9999,8.118,0.002447,2447,2071,318,8.126,2065,311.00,36.918,-9999,23.580,25.2200,-9999,-9999,379.71,47.30,9.37,370.56,46.16,-9999,-9999,79.00,-9999,6.91,0.96,0.63,6.89,22.47,1.87,,
63,004,1,13,02,1996,1996/02/13,15,15.0,4.52,196.92,0.98,0.04,2.11,-9999,-9999,-9999,-9999,-9999,8.061,0.002426,2426,2089,368,8.068,2085,361.71,36.920,-9999,23.360,25.2850,-9999,-9999,419.93,60.61,8.08,409.81,59.15,-9999,-9999,72.90,-9999,2.47,0.70,0.46,-9999,-9999,-9999,,
64,004,1,13,02,1996,1996/02/13,25,25.5,3.53,153.73,2.94,0.15,3.96,-9999,-9999,-9999,-9999,-9999,7.986,-9999,-9999,-9999,-9999,7.992,-9999,-9999,36.910,-9999,23.000,25.3830,-9999,-9999,177.99,40.04,5.19,173.70,39.07,-9999,-9999,72.80,-9999,0.51,1.17,0.82,2.41,7.86,0.65,,
65,004,1,13,02,1996,1996/02/13,35,35.5,2.90,126.24,7.72,0.34,4.43,-9999,-9999,-9999,-9999,-9999,7.949,-9999,-9999,-9999,-9999,7.954,-9999,-9999,36.906,-9999,22.500,25.5240,-9999,-9999,29.82,5.90,5.90,29.10,5.75,-9999,-9999,65.70,-9999,0.00,0.24,0.27,-9999,-9999,-9999,,
66,004,1,13,02,1996,1996/02/13,55,55.0,2.92,127.22,8.51,0.35,4.54,-9999,-9999,-9999,-9999,-9999,7.949,0.002421,2421,2153,485,7.954,2149,477.40,36.898,-9999,22.370,25.5600,-9999,-9999,25.81,5.36,5.62,25.19,5.23,-9999,-9999,73.30,-9999,0.03,0.12,0.18,2.57,8.37,0.70,,
67,004,1,13,02,1996,1996/02/13,75,75.5,3.01,131.12,9.23,0.44,4.43,-9999,-9999,-9999,-9999,-9999,7.905,0.002403,2403,2161,529,7.910,2158,521.56,36.860,-9999,21.670,25.7300,-9999,-9999,20.56,4.89,4.91,20.06,4.77,-9999,-9999,68.80,-9999,0.31,0.05,0.08,1.97,6.42,0.53,,
68,004,1,13,02,1996,1996/02/13,100,99.5,2.85,124.23,11.06,0.63,5.17,-9999,-9999,-9999,-9999,-9999,7.904,-9999,-9999,-9999,-9999,7.909,-9999,-9999,36.786,-9999,20.800,25.9100,-9999,-9999,15.69,3.61,5.07,15.31,3.52,-9999,-9999,67.80,-9999,0.00,0.03,0.05,1.07,3.50,0.29,,
69,004,1,13,02,1996,1996/02/13,130,130.0,2.25,97.74,14.54,0.77,8.65,-9999,-9999,-9999,-9999,-9999,7.876,0.002422,2422,2194,539,7.881,2192,530.78,36.656,36.722,19.950,26.0890,-9999,-9999,18.87,4.35,5.06,18.41,4.25,-9999,-9999,68.50,-9999,-9999,-9999,-9999,1.04,3.59,0.30,,
70,004,1,13,02,1996,1996/02/13,160,160.0,1.86,81.06,16.57,1.00,12.87,-9999,-9999,-9999,-9999,-9999,7.829,0.002419,2419,2216,587,7.834,2213,578.51,36.568,36.569,18.940,26.2360,-9999,-9999,21.34,4.62,5.39,20.82,4.51,-9999,-9999,62.10,-9999,-9999,-9999,-9999,0.95,3.26,0.27,,
71,004,1,13,02,1996,1996/02/13,200,200.0,0.39,16.84,15.27,1.49,21.95,-9999,-9999,-9999,-9999,-9999,7.815,-9999,-9999,-9999,-9999,7.822,-9999,-9999,36.454,36.429,18.090,26.3460,-9999,-9999,27.37,5.23,6.11,26.71,5.10,-9999,-9999,60.60,-9999,-9999,-9999,-9999,0.62,2.14,0.18,,
72,004,1,13,02,1996,1996/02/13,250,249.5,0.05,2.13,1.08,2.40,33.02,-9999,-9999,-9999,-9999,-9999,7.670,-9999,-9999,-9999,-9999,7.674,-9999,-9999,36.395,36.392,17.870,26.3700,-9999,-9999,28.59,6.03,5.53,27.90,5.88,-9999,-9999,66.60,-9999,-9999,-9999,-9999,2.48,8.84,0.74,,
73,004,1,13,02,1996,1996/02/13,300,298.5,0.00,0.00,0.69,2.56,41.36,-9999,-9999,-9999,-9999,-9999,7.650,0.002429,2429,2304,902,7.655,2302,891.01,36.366,36.363,17.710,26.4000,-9999,-9999,27.84,6.30,5.15,27.16,6.15,-9999,-9999,60.70,-9999,-9999,-9999,-9999,1.75,6.22,0.52,,
74,004,1,13,02,1996,1996/02/13,350,349.5,0.00,0.00,0.69,2.78,57.39,-9999,-9999,-9999,-9999,-9999,7.660,0.002417,2417,2288,874,7.665,2286,862.82,36.338,-9999,-9999,-9999,-9999,-9999,33.00,6.64,5.80,32.20,6.48,-9999,-9999,62.40,-9999,-9999,-9999,-9999,1.19,4.23,0.35,,
75,004,1,13,02,1996,1996/02/13,400,398.0,0.00,0.00,0.68,2.88,61.61,-9999,-9999,-9999,-9999,-9999,7.620,0.002436,2436,2322,979,7.624,2321,968.35,36.311,-9999,-9999,-9999,-9999,-9999,28.97,6.03,5.60,28.27,5.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.93,3.30,0.27,,
