"","abundance","month","yday"
"1",0.134351087760215,"07",184
"2",0.140185946613844,"08",214
"3",12.9800004621449,"09",254
"4",0.317443875057799,"10",282
"5",18.891055587064,"11",305
"6",1.5974921943261,"12",338
"7",0.170672392203777,"02",36
"8",36.0833920183874,"03",64
"9",0.336150594498935,"04",99
"10",0.0563859254742025,"05",127
"11",0.0173437774191393,"06",155
"12",12.6031716662523,"07",183
"13",0.0904534581614027,"08",218
"14",0.0327583021559064,"09",246
"15",0.233620385752478,"10",281
"16",0.460254132512099,"12",344
"17",0.568044538861302,"01",9
"18",85.7230799104884,"02",42
"19",2.41735027584209,"03",70
"20",1.20998280040194,"04",98
"21",0.0265283891740727,"05",124
"22",0.0348130539789962,"06",155
"23",0.0637333940841557,"07",189
"24",0.111290101115739,"08",217
"25",0.0364987593294347,"09",253
"26",0.00560521532189754,"10",283
"27",0.0083024522639729,"11",322
"28",0.0492049811081164,"12",344
"29",1.31923500451167,"01",12
"30",0.0280792745325582,"02",40
"31",43.0155292704218,"03",61
"32",0.114949833142732,"04",96
"33",0.00773714028301251,"05",127
"34",0.26731504402194,"06",152
"35",0.0151505087731459,"07",194
"36",0.882833193277957,"08",222
"37",0.0342484061155343,"09",257
"38",0.0975,"10",278
"39",0.0416544670532711,"11",313
"40",0.037518062681863,"12",341
"41",0.0552040232242735,"01",11
"42",0.0014,"02",41
"43",0.0439439927040745,"03",67
"44",0.113124982108476,"04",96
"45",0.0161525839332367,"05",130
"46",0.0308229622370867,"06",158
"47",0.216724605462388,"08",215
"48",1.05562971616184,"09",257
"49",8.82829218772285,"10",276
"50",0.450215705345962,"11",312
"51",0.561493420774557,"12",341
